blueADCChamp,blueJungleChamp,blueMiddleChamp,blueSupportChamp,blueTopChamp,redADCChamp,redJungleChamp,redMiddleChamp,redSupportChamp,redTopChamp,blueBan1,redBan1,blueBan2,redBan2,blueBan3,redBan3,blueBan4,redBan4,blueBan5,redBan5,rResult
Varus,Wukong,Ahri,Nautilus,K'Sante,Yunara,Pantheon,Taliyah,Alistar,Rumble,Jayce,Ambessa,Neeko,Malphite,Orianna,Akali,Jhin,Syndra,Sivir,LeBlanc,0
Senna,Dr. Mundo,Ryze,Rell,Renekton,Kai'Sa,Malphite,Syndra,Rakan,Gnar,Jayce,Poppy,Neeko,Sylas,Orianna,Akali,Aphelios,Miss Fortune,Sivir,Leona,1
Zeri,Xin Zhao,Cassiopeia,Neeko,Jax,Sivir,Ambessa,Aurora,Leona,Gragas,Jayce,Poppy,Orianna,Vi,LeBlanc,Aphelios,Kennen,Galio,Akali,Viktor,0
Yunara,Malphite,Orianna,Neeko,Renekton,Jhin,Ambessa,Azir,Rell,K'Sante,Rumble,Poppy,Jayce,Ryze,Akali,Qiyana,Bard,Kai'Sa,Alistar,Zaahen,0
Miss Fortune,Jarvan IV,Aurora,Alistar,Rumble,Varus,Vi,Sylas,Leona,Yorick,Akali,Jayce,Sivir,Wukong,Poppy,Ryze,Taliyah,Nautilus,Ahri,Bard,0
Varus,Ambessa,Ahri,Rell,Rumble,Yunara,Qiyana,Ryze,Braum,K'Sante,Poppy,Jayce,Neeko,Orianna,Sylas,Malphite,Miss Fortune,Taliyah,Sivir,Alistar,1
Miss Fortune,Malphite,Syndra,Alistar,Renekton,Sivir,Dr. Mundo,Taliyah,Lulu,Jax,Poppy,Jayce,Neeko,Orianna,Sylas,Azir,Renata Glasc,Akali,Corki,LeBlanc,1
Varus,Jarvan IV,Azir,Bard,Rek'Sai,Sivir,Ambessa,Orianna,Alistar,Renekton,Rumble,Poppy,Jayce,Malphite,Wukong,Neeko,Pantheon,Nautilus,Xin Zhao,Sion,0
Aphelios,Xin Zhao,Ryze,Thresh,Sion,Yunara,Pantheon,Anivia,Lulu,Zaahen,Neeko,Jayce,Qiyana,Rumble,Sylas,Malphite,Ahri,Vi,LeBlanc,Wukong,0
Varus,Wukong,Azir,Nautilus,Zaahen,Yunara,Jarvan IV,LeBlanc,Neeko,Ambessa,Jayce,Malphite,Rumble,Poppy,Orianna,Karma,Akali,Renekton,Taliyah,Syndra,1
Corki,Dr. Mundo,Aurora,Blitzcrank,Renekton,Aphelios,Malphite,Syndra,Thresh,Gnar,Jayce,Ryze,Orianna,Akali,Rumble,Sylas,Lucian,Sivir,Kai'Sa,Ezreal,1
Miss Fortune,Xin Zhao,Taliyah,Alistar,Sion,Ezreal,Vi,Cassiopeia,Braum,Rek'Sai,Jayce,Poppy,Rumble,Lucian,Orianna,Akali,Kai'Sa,Xayah,Rakan,Sivir,0
Yunara,Jarvan IV,Azir,Alistar,Gnar,Aphelios,Xin Zhao,Orianna,Thresh,Renekton,Jayce,Poppy,Rumble,Neeko,Akali,Varus,Lulu,Bard,Ashe,Corki,0
Ezreal,Naafiri,Zoe,Karma,Ambessa,Ashe,Vi,Aurora,Seraphine,K'Sante,Neeko,Jayce,Varus,Rumble,Poppy,Ryze,Gwen,Viktor,Akali,Sion,0
Yunara,Ambessa,Orianna,Poppy,K'Sante,Varus,Jarvan IV,Akali,Rakan,Renekton,Jayce,Neeko,Malphite,Aphelios,Rumble,Wukong,Zaahen,Lulu,Alistar,Rell,1
Sivir,Dr. Mundo,Azir,Lulu,Yorick,Jinx,Malphite,Taliyah,Rell,Gnar,Jayce,Sylas,Aphelios,Rumble,Wukong,Neeko,Kai'Sa,Braum,Alistar,Karma,0
Varus,Jayce,Orianna,Bard,Rek'Sai,Jhin,Malphite,Azir,Alistar,Renekton,Karma,Neeko,Akali,Jarvan IV,Ambessa,Sylas,Sivir,Rumble,Yunara,Sion,0
